Mapa de compras por fornecedor (detalhe);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Datas;2023-01-01 a 2023-12-31;;;;;;;;;;;;;;;;;;
Fornecedores;000000000 a zzzzzzzzz;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
NIF;Nome;Data;Tipo;Número;Vossa Ref.;Cod.;Descrição;Quantidade;Valor líquido;Valor;IVA;Moeda original;Taxa de câmbio;Valor líquido na moeda original;Valor na moeda original;IVA na moeda original;% de IVA;País/Região;Mercado
508141966;Apple Portugal, Unipessoal Lda;2023-01-13;FC;FC 2023F/1;;SM005;IPHONE 15 PRO 512GB;20;8000;9840;1840;EUR;1;8000;9840;1840;23;Portugal - Continente;Mercado Nacional
508141966;Apple Portugal, Unipessoal Lda;2023-01-13;FC;FC 2023F/1;;TS002;APPLE Airpods Pro 2ª Geração;40;6720;8265,6;1545,6;EUR;1;6720;8265,6;1545,6;23;Portugal - Continente;Mercado Nacional
508141966;Apple Portugal, Unipessoal Lda;2023-04-01;FC;FC 2023F/6;;TS002;APPLE Airpods Pro 2ª Geração;20;4200;5166;966;EUR;1;4200;5166;966;23;Portugal - Continente;Mercado Nacional
508141966;Apple Portugal, Unipessoal Lda;2023-04-01;FC;FC 2023F/6;;SM005;IPHONE 15 PRO 512GB;10;5000;6150;1150;EUR;1;5000;6150;1150;23;Portugal - Continente;Mercado Nacional
508141966;Apple Portugal, Unipessoal Lda;2023-07-16;FC;FC 2023F/22;;SM005;IPHONE 15 PRO 512GB;2;1300;1599;299;EUR;1;1300;1599;299;23;Portugal - Continente;Mercado Nacional
508141966;Apple Portugal, Unipessoal Lda;2023-07-16;FC;FC 2023F/24;;SM005;IPHONE 15 PRO 512GB;8;5200;6396;1196;EUR;1;5200;6396;1196;23;Portugal - Continente;Mercado Nacional
508141966;Apple Portugal, Unipessoal Lda;2023-10-02;FC;FC 2023F/25;;SM005;IPHONE 15 PRO 512GB;27;9652,5;11872,58;2220,08;EUR;1;9652,5;11872,58;2220,08;23;Portugal - Continente;Mercado Nacional
508141966;Apple Portugal, Unipessoal Lda;2023-10-02;FC;FC 2023F/25;;TS002;APPLE Airpods Pro 2ª Geração;25;3753,75;4617,11;863,36;EUR;1;3753,75;4617,11;863,36;23;Portugal - Continente;Mercado Nacional
508141966;Apple Portugal, Unipessoal Lda;2023-10-02;FC;FC 2023F/25;;TS001;"TV 65"" Neo QLED 8K QN900C";20;32175;39575,25;7400,25;EUR;1;32175;39575,25;7400,25;23;Portugal - Continente;Mercado Nacional
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-07-28;FC;FC 2023F/23;;ED004;Frigorífico Americano JOCEL;5;3709,9;3709,9;0;EUR;1;3709,9;3709,9;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-07-28;FC;FC 2023F/23;;ED006;FLAIR 58 PLUS;1;687,7;687,7;0;EUR;1;687,7;687,7;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-07-28;FC;FC 2023F/23;;ED007;DESUMIFICADOR DELONGHI;5;1430;1430;0;EUR;1;1430;1430;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-07-28;FC;FC 2023F/23;;ED008;Forno TEKA HLB 822 SS;5;2429,4;2429,4;0;EUR;1;2429,4;2429,4;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-07-28;FC;FC 2023F/23;;GA002;Xbox Series X;5;2437,5;2437,5;0;EUR;1;2437,5;2437,5;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-07-28;FC;FC 2023F/23;;GA005;PS5 SLIM + FC24;5;3165,5;3165,5;0;EUR;1;3165,5;3165,5;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-10-04;FC;FC 2023F/26;;ED004;Frigorífico Americano JOCEL;10;4080,9;4080,9;0;EUR;1;4080,9;4080,9;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-10-04;FC;FC 2023F/26;;ED007;DESUMIFICADOR DELONGHI;8;1258,4;1258,4;0;EUR;1;1258,4;1258,4;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-10-04;FC;FC 2023F/26;;GA003;"Monitor 27"" Nitro VG2 VG273 ACER";9;862,29;862,29;0;EUR;1;862,29;862,29;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-10-04;FC;FC 2023F/26;;GA005;PS5 SLIM + FC24;10;3482,1;3482,1;0;EUR;1;3482,1;3482,1;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-10-05;FC;FC 2023F/27;;GA004;Rato Gaming  TRUST;30;783,3;783,3;0;EUR;1;783,3;783,3;0;0;Spain;Mercado Comunitário
